# MJD 5_sigma_depth filter
61219.32596 24.585 g
61219.39103 24.585 g
61220.35953 24.148 r
61220.40536 24.148 r
61221.42914 24.585 g
61222.31148 24.148 r
61222.43410 24.148 r
61224.43422 22.377 z
61225.37208 24.148 r
61226.44440 24.148 r
61231.38141 24.585 g
61232.40406 24.148 r
61233.31231 24.148 r
61233.44265 24.353 g
61235.37317 24.353 g
61235.42765 24.353 g
61236.40497 23.566 i
61238.31235 23.710 g
61238.37862 24.219 g
61239.38509 24.148 r
61243.35965 22.469 i
61243.41443 24.148 r
61245.35777 24.219 g
61246.27554 24.219 g
61247.43756 22.469 i
61248.23713 24.148 r
61249.16645 22.469 i
61249.24209 22.122 z
61249.39914 24.148 r
61250.37580 24.148 r
61251.23549 24.148 r
61252.25777 24.148 r
61253.18347 24.148 r
61253.43166 24.549 g
61261.33069 24.148 r
61261.41446 24.549 g
61262.34894 22.960 u
61262.38302 24.549 g
61263.29752 24.148 r
61263.41519 24.148 r
61265.17238 24.759 g
61265.35051 24.759 g
61266.32605 24.148 r
61266.38797 24.148 r
61267.28902 24.148 r
61267.33148 24.148 r
61268.25604 24.148 r
61268.30067 23.696 i
61268.36784 24.603 g
61269.25694 24.148 r
61271.25358 24.148 r
61273.22147 24.603 g
61274.19390 24.603 g
61274.32646 23.696 i
61275.27641 21.700 y
61275.41304 24.148 r
61276.16481 24.603 g
61276.30872 24.148 r
61277.15669 24.603 g
61277.42197 24.603 g
61278.22808 24.205 g
61278.34918 24.148 r
61279.20416 24.148 r
61279.25679 24.205 g
61281.26567 24.148 r
61281.34632 22.506 z
61283.32233 24.148 r
61283.37065 24.148 r
61284.29258 24.205 g
61285.32494 23.696 i
61286.18477 24.127 r
61287.09890 24.205 g
61287.21512 24.205 g
61287.32301 24.205 g
61287.41632 23.696 i
61296.19686 24.127 r
61296.26532 23.302 u
61297.02622 24.205 g
61297.19031 24.205 g
61297.28906 24.127 r
61298.13223 24.127 r
61298.29571 24.127 r
61298.40412 24.127 r
61299.17917 24.127 r
61300.13381 24.127 r
61303.26110 24.127 r
61303.32579 24.127 r
61304.05576 24.127 r
61304.27426 23.301 i
61304.33035 24.127 r
61305.03847 24.127 r
61305.10390 24.127 r
61306.08215 23.301 i
61306.13895 24.205 g
61308.09279 24.205 g
61308.15499 24.127 r
61308.31929 24.127 r
61309.17516 23.301 i
61309.23900 21.389 y
61310.21427 24.205 g
61312.16718 24.127 r
61312.22375 23.301 i
61313.05095 24.205 g
61313.11374 24.127 r
61313.19265 24.127 r
61316.22272 23.979 r
61316.27692 24.205 g
61317.16961 23.979 r
61318.14131 23.979 r
61319.10020 24.205 g
61319.26248 23.979 r
61319.34392 23.979 r
61320.16152 23.979 r
61320.21451 23.979 r
61321.09522 23.979 r
61321.16807 23.979 r
61321.31605 23.979 r
61322.02898 24.205 g
61322.10142 23.979 r
61324.07234 23.979 r
61325.05713 23.479 i
61325.20826 23.979 r
61326.18926 23.479 i
61327.10850 23.479 i
61327.22020 23.479 i
61328.04924 23.651 i
61328.20829 23.651 i
61330.12284 23.975 r
61331.11806 23.975 r
61331.21573 23.975 r
61333.02028 24.372 g
61334.06030 23.975 r
61336.14355 23.975 r
61336.21080 23.975 r
61336.28934 23.975 r
61338.14248 23.975 r
61338.18469 23.975 r
61339.25184 24.372 g
61340.15704 24.372 g
61341.13447 22.061 y
61343.10118 23.975 r
61344.23052 24.080 r
61351.07155 23.448 i
61351.20951 24.080 r
61352.02316 24.372 g
61352.08602 24.080 r
61352.23999 24.080 r
61354.12596 24.080 r
61354.23681 24.080 r
61355.08775 24.080 r
61355.14101 24.080 r
61355.20559 24.080 r
61356.06604 23.448 i
61358.11880 24.372 g
61359.12493 23.448 i
61359.20670 24.080 r
61361.25484 24.080 r
61362.17003 23.074 i
61363.04792 24.372 g
61363.09087 24.080 r
61364.07669 23.074 i
61365.08818 24.080 r
61365.18500 24.372 g
61366.08802 24.080 r
61370.11157 24.080 r
61372.10439 24.080 r
61372.15579 24.080 r
61378.14036 24.080 r
61379.11580 24.080 r
61380.03286 24.372 g
61381.09192 24.372 g
61382.07016 23.827 i
61386.03213 24.372 g
61387.06498 23.827 i
61388.08912 24.080 r
61407.04185 24.372 g
61412.06718 24.080 r
61417.09882 24.080 r
61419.04485 24.372 g
61420.06111 24.080 r
61502.40352 23.610 r
61524.42012 23.248 i
61541.39082 23.248 i
61552.42597 23.610 r
61553.42458 23.610 r
61563.39225 24.505 g
61568.44368 23.610 r
61573.23546 23.610 r
61574.42519 23.248 i
61575.37521 24.505 g
61576.39988 23.610 r
61579.37749 23.610 r
61579.43600 23.610 r
61580.35686 23.610 r
61580.40909 24.505 g
61581.33825 23.610 r
61581.40747 23.610 r
61586.44441 23.610 r
61587.33736 23.610 r
61587.39509 23.610 r
61588.33510 23.610 r
61588.42352 24.505 g
61591.42766 23.248 i
61593.42528 24.505 g
61598.38968 24.505 g
61600.16583 24.245 r
61605.43672 24.245 r
61606.29837 24.505 g
61606.34194 22.347 z
61607.36690 22.706 z
61608.30383 23.248 i
61609.32845 24.248 g
61610.29654 24.245 r
61610.41966 23.248 i
61611.34914 24.248 g
61611.39097 23.248 i
61612.16425 24.248 g
61612.44076 24.245 r
61617.27308 24.248 g
